customer_age,tenure_months,monthly_charges,contract_type,support_calls,payment_method,churn
56,70,116.76,Month-to-Month,7.0,Credit Card,1
69,11,74.8,Month-to-Month,1.0,Credit Card,0
46,16,62.35,Month-to-Month,1.0,Electronic Check,1
32,59,76.85,One-Year,0.0,Credit Card,0
60,70,77.59,Month-to-Month,3.0,Electronic Check,0
25,3,93.16,One-Year,5.0,Bank Transfer,1
38,20,32.77,Two-Year,2.0,Credit Card,0
56,59,45.0,Month-to-Month,3.0,Electronic Check,1
36,36,78.05,Month-to-Month,4.0,Credit Card,0
40,19,106.71,Month-to-Month,3.0,Electronic Check,0
28,67,,Month-to-Month,3.0,Electronic Check,0
28,19,,Month-to-Month,1.0,Credit Card,0
41,20,,Month-to-Month,2.0,Bank Transfer,1
53,71,,One-Year,6.0,Electronic Check,0
57,52,,Month-to-Month,0.0,Electronic Check,0
41,33,57.77,One-Year,3.0,Electronic Check,0
20,40,73.43,One-Year,1.0,Bank Transfer,0
39,39,69.66,One-Year,2.0,Bank Transfer,0
19,1,58.96,One-Year,4.0,Credit Card,0
41,11,49.76,One-Year,2.0,Bank Transfer,0
61,57,30.0,Month-to-Month,2.0,Credit Card,0
47,50,25.35,Month-to-Month,1.0,Credit Card,0
55,23,115.85,Two-Year,6.0,Bank Transfer,1
19,31,104.71,One-Year,1.0,Credit Card,0
38,42,55.49,Month-to-Month,1.0,Bank Transfer,0
50,7,115.68,Month-to-Month,1.0,Credit Card,1
29,16,87.68,Month-to-Month,3.0,Bank Transfer,1
39,60,68.25,Two-Year,2.0,Bank Transfer,0
61,2,69.3,Month-to-Month,2.0,Credit Card,1
42,1,28.33,Month-to-Month,2.0,Electronic Check,0
66,48,29.17,Month-to-Month,,Credit Card,0
44,12,80.24,Month-to-Month,,Bank Transfer,1
59,69,75.37,Two-Year,,Electronic Check,0
45,37,41.27,Month-to-Month,0.0,Credit Card,1
33,32,114.62,Two-Year,4.0,Credit Card,0
32,9,98.13,Month-to-Month,1.0,Credit Card,1
64,19,31.35,Two-Year,8.0,Electronic Check,1
68,48,113.09,Month-to-Month,1.0,Bank Transfer,0
61,3,117.42,Month-to-Month,1.0,Credit Card,0
69,20,119.59,One-Year,4.0,Credit Card,0
20,24,25.59,Two-Year,0.0,Credit Card,0
54,54,93.7,Two-Year,2.0,Credit Card,0
68,33,74.59,One-Year,3.0,Credit Card,0
24,24,90.58,Two-Year,3.0,Bank Transfer,0
38,36,116.87,Month-to-Month,2.0,Bank Transfer,0
26,38,88.8,Two-Year,3.0,Credit Card,0
56,25,103.7,Month-to-Month,4.0,Electronic Check,0
35,18,106.69,One-Year,3.0,Bank Transfer,0
21,66,103.85,Two-Year,2.0,Electronic Check,0
42,54,62.61,One-Year,1.0,Bank Transfer,0
31,35,42.26,Month-to-Month,1.0,Credit Card,0
67,61,59.67,Month-to-Month,0.0,Bank Transfer,0
26,41,109.19,Two-Year,0.0,Credit Card,1
43,33,34.66,Month-to-Month,0.0,Bank Transfer,1
19,68,71.33,Two-Year,0.0,Credit Card,0
37,33,43.32,One-Year,2.0,Credit Card,0
45,14,78.13,Month-to-Month,1.0,Credit Card,0
64,21,106.31,One-Year,2.0,Credit Card,1
24,48,108.04,Month-to-Month,0.0,Electronic Check,0
61,20,43.67,One-Year,2.0,Credit Card,0
25,8,110.77,One-Year,2.0,Electronic Check,0
64,7,79.19,Month-to-Month,1.0,Electronic Check,0
52,67,55.02,Month-to-Month,0.0,Credit Card,0
31,17,90.82,Two-Year,1.0,Electronic Check,0
34,33,68.17,Month-to-Month,3.0,Bank Transfer,0
53,48,57.8,One-Year,6.0,Credit Card,0
67,59,90.51,Month-to-Month,2.0,Electronic Check,0
57,22,44.87,Month-to-Month,1.0,Credit Card,0
21,30,53.03,Month-to-Month,0.0,Credit Card,0
19,38,63.45,Month-to-Month,1.0,Credit Card,0
23,51,45.37,Month-to-Month,4.0,Electronic Check,1
59,54,60.52,One-Year,3.0,Bank Transfer,0
21,8,77.15,Month-to-Month,4.0,Bank Transfer,1
46,27,94.1,Month-to-Month,2.0,Electronic Check,1
35,27,96.72,Month-to-Month,4.0,Credit Card,0
43,21,102.28,Month-to-Month,1.0,Electronic Check,0
61,30,94.42,Month-to-Month,1.0,Electronic Check,1
51,28,88.1,One-Year,3.0,Electronic Check,0
27,64,43.75,One-Year,1.0,Credit Card,0
53,69,60.02,Month-to-Month,1.0,Electronic Check,0
31,61,67.77,Two-Year,2.0,Credit Card,0
48,48,28.29,One-Year,2.0,Electronic Check,0
65,19,72.84,Month-to-Month,5.0,Bank Transfer,1
32,4,63.63,Two-Year,4.0,Electronic Check,1
25,35,100.21,Two-Year,1.0,Electronic Check,0
31,64,117.79,Month-to-Month,1.0,Bank Transfer,0
40,49,75.6,Month-to-Month,1.0,Credit Card,0
57,17,52.27,Two-Year,1.0,Credit Card,1
38,44,24.34,One-Year,4.0,Electronic Check,0
33,30,112.46,Month-to-Month,3.0,Bank Transfer,1
62,46,111.91,One-Year,2.0,Credit Card,0
35,6,45.3,Two-Year,1.0,Electronic Check,0
64,37,89.54,One-Year,2.0,Bank Transfer,0
41,24,27.54,One-Year,1.0,Credit Card,0
43,46,36.62,Two-Year,1.0,Credit Card,0
42,53,41.68,Month-to-Month,1.0,Bank Transfer,1
62,60,49.45,Month-to-Month,3.0,Bank Transfer,0
58,63,119.58,One-Year,2.0,Bank Transfer,0
46,32,89.69,Two-Year,2.0,Bank Transfer,0
32,33,58.42,Month-to-Month,3.0,Electronic Check,0
62,67,93.71,One-Year,0.0,Bank Transfer,0
18,18,111.53,One-Year,5.0,Credit Card,0
42,25,115.87,Month-to-Month,1.0,Credit Card,0
24,54,25.79,One-Year,3.0,Electronic Check,0
26,58,59.45,Two-Year,0.0,Credit Card,0
41,67,30.68,One-Year,1.0,Credit Card,0
18,46,53.57,Month-to-Month,1.0,Bank Transfer,0
